Location,Gun suicide rate,Suicide rate,Gun homicide rate,Homicide rate,% Gun at home
United States,7.9,14.5,6.3,7.8,[a]
Wyoming,23.7,32.8,1.7,2.8,61%
Montana,21.6,31.7,2.7,4.2,65%
Alaska,19.4,30.0,4.2,6.7,57%
New Mexico,14.4,25.2,10.9,14.5,36%
Oklahoma,13.8,22.0,6.4,8.6,55%
Idaho,13.8,20.4,1.5,2.2,58%
North Dakota,13.2,20.1,2.6,3.1,53%
Nevada,13.1,22.0,6.3,8.4,33%
Arkansas,12.9,20.4,9.3,11.1,52%
Colorado,12.8,23.8,4.7,6.3,38%
West Virginia,12.7,21.0,4.8,6.4,60%
Alabama,12.4,16.4,12.9,14.8,53%
Missouri,12.1,19.1,9.9,11.6,53%
Arizona,12.1,20.3,5.9,7.7,36%
Oregon,11.9,20.9,3.4,4.8,41%
Kentucky,11.8,18.1,8.1,9.0,53%
Kansas,11.8,19.1,4.9,6.1,42%
Tennessee,11.7,17.5,10.2,11.6,47%
Maine,11.5,20.2,0.9,1.5,48%
Vermont,11.5,22.0,[b],1.5,50%
Mississippi,11.3,16.3,19.8,22.2,54%
South Dakota,10.9,22.7,2.8,5.0,55%
Utah,10.9,19.3,2.1,2.7,40%
South Carolina,10.5,15.5,10.7,12.6,45%
Georgia,10.3,15.5,9.5,11.2,38%
Indiana,10.2,16.6,7.6,9.2,42%
Louisiana,10.0,14.9,17.4,20.4,52%
Iowa,9.2,17.2,2.0,2.9,39%
Florida,8.9,15.4,5.3,6.7,29%
North Carolina,8.7,13.7,8.1,9.4,37%
Texas,8.6,14.2,6.6,8.1,36%
Ohio,8.4,15.0,7.4,8.7,42%
Wisconsin,8.2,15.3,4.9,5.9,47%
Virginia,8.2,13.7,5.8,7.0,35%
Michigan,8.1,14.8,7.0,8.2,39%
New Hampshire,8.0,16.1,[c],1.1,46%
Washington,8.0,15.9,3.3,4.5,32%
Pennsylvania,7.7,14.5,6.6,8.5,40%
Delaware,7.6,13.7,8.0,10.3,39%
Nebraska,7.4,14.7,2.3,3.6,39%
Minnesota,6.9,14.2,2.9,4.1,39%
Illinois,5.2,11.5,10.2,11.7,23%
Maryland,5.0,10.1,9.6,11.5,17%
California,4.0,10.6,4.7,6.4,16%
Connecticut,3.4,11.1,3.2,4.4,19%
Rhode Island,3.3,10.7,2.5,3.7,14%
Hawaii,2.9,14.0,1.6,2.7,9%
New York,2.2,8.4,3.1,4.6,14%
New Jersey,2.1,7.4,3.0,4.4,9%
Massachusetts,1.9,8.6,1.4,2.3,9%
District of Columbia,1.8,6.9,25.2,33.3,[d]
